,activity,user,pc,id,content,date
33,WWW Visit,admin4418,121.36.44.18,ed61d3a1c1c669df226eb3467a78fa24,explorer  TcpIp/Recv  192.168.0.74 to 104.70.235.147,05/10/2022 19:37:52
34,File Write,admin4418,121.36.44.18,ef16be6e296e1e21397ec5271a235816,explorer FileIO/Write CachedImage_1366_768_POS4.jpg,05/10/2022 19:38:26
35,File Open,admin4418,121.36.44.18,742094938377a4a22f7cf27a699ed9ae,explorer FileIO/Read CachedImage_1366_768_POS4.jpg,05/10/2022 19:38:34
36,File Open,admin35254,121.36.35.254,674e648f9fc7fc4bd7d6c3aa4c4462cf,LogonUI FileIO/Read LockScreen___1536_0864_notdimmed.jpg,05/10/2022 19:39:39
37,File Write,admin35254,121.36.35.254,171a3463e11252d5a34fcc86bc8c5721,explorer FileIO/Write CachedImage_1536_864_POS4.jpg,05/10/2022 19:39:39
38,File Open,admin35254,121.36.35.254,aba2bf260b9fa8ce3036404a90157ec5,explorer FileIO/Read $IBMV5NX.txt,05/10/2022 19:39:40
39,WWW Visit,admin4418,121.36.44.18,175613260ecb450340e4ae99a05b1605,explorer  TcpIp/Recv  192.168.0.74 to 104.70.235.147,05/10/2022 19:39:41
40,File Open,admin35254,121.36.35.254,348453a1cb62b0a65bcff892e4d2ef12,MsMpEng FileIO/Read benign.txt.lnk,05/10/2022 19:39:57
41,File Write,admin35254,121.36.35.254,837f3629f1781f276b7465c554a61810,explorer FileIO/Write benign.txt.lnk,05/10/2022 19:39:57
42,File Write,admin35254,121.36.35.254,8d25db081b16f55105a4489c6dcb2a1c,svchost FileIO/Write WER36E5.tmp.txt,05/10/2022 19:40:21
43,File Open,admin4418,121.36.44.18,d1c0dbecb31fa127ef051f86636d350b,MsMpEng FileIO/Read AppCache132966564577808548.txt.~tmp,05/10/2022 19:40:44
44,File Open,admin4418,121.36.44.18,f651e03b4f3afbc2ee2a1c57f73ecf64,MsMpEng FileIO/Read 0.0.filtertrie.intermediate.txt,05/10/2022 19:40:45
45,File Write,admin35254,121.36.35.254,802e932d0163168e463c342db0fa6f47,WerFault FileIO/Write WERADBC.tmp.appcompat.txt,05/10/2022 19:40:52
46,File Open,admin35254,121.36.35.254,ee9bba1cfcd57659b03ce3cd2f81556c,WerFault FileIO/Read WER36E5.tmp.txt,05/10/2022 19:40:52
47,File Write,admin35254,121.36.35.254,5200bccb06724f5951c7d41b3c638a4d,WerFault FileIO/Write WER36E5.tmp.txt,05/10/2022 19:40:52
48,File Open,admin35254,121.36.35.254,e3d0cca2e5e4befd0de724cef0c4611b,WerFault FileIO/Read WERADBC.tmp.appcompat.txt,05/10/2022 19:40:52
49,File Write,admin35254,121.36.35.254,2589a61191ff7e494d8fa11f3edfaa03,WerFault FileIO/Write WERADBC.tmp.appcompat.txt,05/10/2022 19:40:52
50,File Open,admin4418,121.36.44.18,d710764090249f9024892b834448dc29,MsMpEng FileIO/Read telemetry-dll-ramp-value.txt,05/10/2022 20:43:16
51,File Open,admin4418,121.36.44.18,0cdd4b9ae9006e5b6054ebff14798adc,Microsoft.SharePoint FileIO/Read telemetry-dll-ramp-value.txt,05/10/2022 20:43:16
52,File Write,admin4418,121.36.44.18,aed97d9b7712314d060fa6e537a2310f,Microsoft.SharePoint FileIO/Write telemetry-dll-ramp-value.txt,05/10/2022 20:43:16
53,File Open,admin35254,121.36.35.254,43bd8e5745c55c882a22e2386aac09e3,MsMpEng FileIO/Read windows.data.pdf.dll,05/10/2022 21:18:02
54,File Open,admin35254,121.36.35.254,7eb92cad289e2c58df3d8f9b9e53d2a4,MsMpEng FileIO/Read xpsdocumenttargetprint.dll,05/10/2022 21:18:04
55,File Open,admin35254,121.36.35.254,263fcf29478750dbf7c86906bedb0093,MsMpEng FileIO/Read xpsdocumenttargetprint.dll,05/10/2022 21:18:08
56,File Open,admin35254,121.36.35.254,72d9714e1bad81ee97744ed7f2b14177,MsMpEng FileIO/Read windows.data.pdf.dll,05/10/2022 21:18:08
57,File Open,admin4418,121.36.44.18,fbb85031ffff0211f2c3f814ee443d01,MsMpEng FileIO/Read AppCache132966709745930405.txt.~tmp,05/10/2022 23:42:41
58,File Open,admin4418,121.36.44.18,d0aaea5893188d79c7dda940327ff451,MsMpEng FileIO/Read 0.0.filtertrie.intermediate.txt,05/10/2022 23:42:41
59,File Open,admin4418,121.36.44.18,ec2a54333e050ee4d2600f44c94142fd,MsMpEng FileIO/Read AppCache132966853787196966.txt.~tmp,05/11/2022 03:42:45
60,File Open,admin4418,121.36.44.18,b451c36a8339b275c884be79756e5abc,MsMpEng FileIO/Read AppCache132966709745930405.txt,05/11/2022 03:42:45
61,File Open,admin4418,121.36.44.18,c9971523570e96cff31cb5c7823d1594,MsMpEng FileIO/Read 0.0.filtertrie.intermediate.txt,05/11/2022 03:42:45
62,File Open,admin4418,121.36.44.18,f09770457ce1b87212ae2090e2233f06,MsMpEng FileIO/Read img2.jpg,05/11/2022 03:57:46
63,File Open,admin4418,121.36.44.18,3af8292350046498d14865fabd7f6fc5,MsMpEng FileIO/Read img0_768x1366.jpg,05/11/2022 03:57:46
64,File Open,admin4418,121.36.44.18,e6d9b5856dd4d0533e3feb2579e553a0,MsMpEng FileIO/Read sdengin2.dll.mui,05/11/2022 03:57:47
65,File Open,admin4418,121.36.44.18,d2e583e88aaeb747f775b338e9bc8c9c,MsMpEng FileIO/Read img7.jpg,05/11/2022 03:57:47
66,File Open,admin4418,121.36.44.18,c850be98ed34ea4b458e995709686733,MsMpEng FileIO/Read security_watermark.jpg,05/11/2022 03:57:47
67,File Open,admin4418,121.36.44.18,5a0f64a894dff357ba61dca0e821c386,MsMpEng FileIO/Read 29.jpg,05/11/2022 03:57:48
68,File Open,admin4418,121.36.44.18,0ba0a88655b49489fa86ba886fc388b2,MsMpEng FileIO/Read img1.jpg,05/11/2022 03:57:49
69,File Open,admin4418,121.36.44.18,c29c9b8dd13036f1c0cbf3e43c16df1b,MsMpEng FileIO/Read microsoftsolitairewidetile.scale-200.jpg,05/11/2022 03:57:49
70,File Open,admin35254,121.36.35.254,c9890fd02d99f235aac6343127fd441f,MsMpEng FileIO/Read img0.jpg,05/11/2022 05:34:07
71,File Open,admin35254,121.36.35.254,f5721cdc123bd3f505ede090818b36a3,MsMpEng FileIO/Read SharpBitsConsole.zip,05/11/2022 05:34:26
72,File Open,admin35254,121.36.35.254,6c58ef7dc98247c51f88d0a0bb88e32e,MsMpEng FileIO/Read img0.jpg,05/11/2022 05:34:27
73,File Open,admin4418,121.36.44.18,e55f9cb4e8d29b724b7acd75e69044a5,svchost FileIO/Read $IJVVEQC.txt,05/11/2022 05:48:19
74,File Open,admin4418,121.36.44.18,537e54488ee1b0e46c2899e4d2d52738,svchost FileIO/Read $I4GERX7.txt,05/11/2022 05:48:19
75,File Open,admin4418,121.36.44.18,31b6c30d2d43a1d7f8805672abfe743e,MsMpEng FileIO/Read AppCache132966997791863323.txt.~tmp,05/11/2022 07:42:45
76,File Open,admin4418,121.36.44.18,9dd1fa55e67d00e08c1c0ed1aa3bae27,MsMpEng FileIO/Read 0.0.filtertrie.intermediate.txt,05/11/2022 07:42:47
77,Logoff,admin35254,121.36.35.254,d3da81a314274a50a16a688871c4bd80,admin Logoff,05/11/2022 14:30:41
78,Logoff,admin4418,121.36.44.18,c08cc42882c782076057f01b8ecc7500,admin Logoff,05/11/2022 14:30:41
79,Logon,admin4418,121.36.44.18,5b2d717e7b3495804c1f2f0fa5155088,admin Logon,05/12/2022 21:06:03
80,Logon,admin35254,121.36.35.254,694db051c9b6187d6cea772bd8da607f,admin Logon,05/12/2022 21:06:03
81,File Write,admin35254,121.36.35.254,c9cac82acf0b2e6e16f2222819e11ea5,notepad FileIO/Write anomaly_collect_time.txt,05/12/2022 21:06:15
82,File Open,admin35254,121.36.35.254,500085fdde69060fbf8b74bed1111772,MsMpEng FileIO/Read anomaly_collect_time.txt,05/12/2022 21:06:15
83,File Write,admin35254,121.36.35.254,d79ada6cc336e773a58b21c1aadb6dfc,explorer FileIO/Write CachedImage_1536_864_POS4.jpg,05/12/2022 21:06:32
84,File Open,admin35254,121.36.35.254,8cdf2bbcdd1f4b69943fabbb6e5cbcf5,LogonUI FileIO/Read LockScreen___1536_0864_notdimmed.jpg,05/12/2022 21:11:37
85,File Open,admin35254,121.36.35.254,709dd363e29cbf6186d83cdf146768b2,explorer FileIO/Read Deeplogfromxzq.zip,05/12/2022 21:18:25
86,File Write,admin35254,121.36.35.254,112244b07c60ce51728cde61ef888ffe,explorer FileIO/Write (2).zip,05/12/2022 21:18:26
87,WWW Visit,admin35254,121.36.35.254,034acc01cef746cf4bd7da279c15c430,chrome  TcpIp/Send  192.168.0.110 to 204.79.197.200,05/12/2022 21:19:07
88,WWW Visit,admin35254,121.36.35.254,065a4decc2de9ba1fdecc0a3d1be0e5b,chrome  TcpIp/Recv  192.168.0.110 to 204.79.197.200,05/12/2022 21:19:07
89,WWW Visit,admin35254,121.36.35.254,be7d9aa717c4ffa8c86a2d95f8cf40bd,chrome  TcpIp/Recv  192.168.0.110 to 168.63.134.114,05/12/2022 21:20:15
90,WWW Visit,admin35254,121.36.35.254,f314217bc5fd80b17b11cac5f1278f82,chrome  TcpIp/Send  192.168.0.110 to 168.63.134.114,05/12/2022 21:20:15
91,WWW Visit,admin35254,121.36.35.254,cf30bac023013b17492d9db78d503ce3,chrome  TcpIp/Send  192.168.0.110 to 103.215.142.107,05/12/2022 21:20:15
92,WWW Visit,admin35254,121.36.35.254,15161d125879e05be1a8a9830a863bda,chrome  TcpIp/Send  192.168.0.110 to 13.107.246.49,05/12/2022 21:20:15
93,WWW Visit,admin35254,121.36.35.254,812fe311ec49be37a0ca3ccfcd7ce257,chrome  TcpIp/Recv  192.168.0.110 to 103.215.142.107,05/12/2022 21:20:15
94,WWW Visit,admin35254,121.36.35.254,d636a12cd90d0637aef107a90aea09f0,chrome  TcpIp/Recv  192.168.0.110 to 13.107.246.49,05/12/2022 21:20:15
95,WWW Visit,admin35254,121.36.35.254,a85f5655505165a594514c2209b99cfe,chrome  TcpIp/Recv  192.168.0.110 to 220.181.111.91,05/12/2022 21:20:24
96,WWW Visit,admin35254,121.36.35.254,6845144f2e9f298c03a3da49881faf85,chrome  TcpIp/Send  192.168.0.110 to 106.225.194.38,05/12/2022 21:20:24
97,WWW Visit,admin35254,121.36.35.254,6efb4cbe9bf0d93a49f00e66085becbd,chrome  TcpIp/Recv  192.168.0.110 to 106.225.194.38,05/12/2022 21:20:24
98,WWW Visit,admin35254,121.36.35.254,85671e5ab6013fac5e8068897b598d12,chrome  TcpIp/Send  192.168.0.110 to 220.181.33.24,05/12/2022 21:20:24
99,WWW Visit,admin35254,121.36.35.254,245f0a9eeda23dcfb6ba59a8c0e432ab,chrome  TcpIp/Send  192.168.0.110 to 36.99.225.38,05/12/2022 21:21:32
100,WWW Visit,admin35254,121.36.35.254,7fd067ebe6d1707ed4233c40644e7109,chrome  TcpIp/Send  192.168.0.110 to 121.227.7.48,05/12/2022 21:21:32
101,WWW Visit,admin35254,121.36.35.254,e23cfc4fcc6d8286bd3d995121c321e0,chrome  TcpIp/Send  192.168.0.110 to 182.106.137.35,05/12/2022 21:21:32
102,WWW Visit,admin35254,121.36.35.254,39d8875ba8aff40aad3a403519acfb6b,chrome  TcpIp/Recv  192.168.0.110 to 182.106.137.35,05/12/2022 21:21:32
103,WWW Visit,admin35254,121.36.35.254,be9619cc5cceb159a718b6c45739c96c,chrome  TcpIp/Recv  192.168.0.110 to 220.181.107.239,05/12/2022 21:21:32
104,WWW Visit,admin35254,121.36.35.254,d3078bdbcc74a9f888579054c1aa710d,chrome  TcpIp/Recv  192.168.0.110 to 124.238.241.35,05/12/2022 21:21:32
105,WWW Visit,admin35254,121.36.35.254,1ea4b0bc08253c07a3320907bca67bc9,chrome  TcpIp/Recv  192.168.0.110 to 180.97.34.43,05/12/2022 21:21:33
106,WWW Visit,admin35254,121.36.35.254,c51562a09a120c561f9de33ed6f370b7,chrome  TcpIp/Recv  192.168.0.110 to 117.27.149.201,05/12/2022 21:21:33
107,WWW Visit,admin35254,121.36.35.254,c0db85ce14c786a7760f5eae7de0134f,chrome  TcpIp/Send  192.168.0.110 to 117.27.149.201,05/12/2022 21:21:33
108,WWW Visit,admin35254,121.36.35.254,85f2bccbee802751740af3624f78f159,chrome  TcpIp/Recv  192.168.0.110 to 103.235.47.16,05/12/2022 21:21:33
109,WWW Visit,admin35254,121.36.35.254,2ee4abaf78f3bb354dfa27e26f50aa87,chrome  TcpIp/Send  192.168.0.110 to 103.235.47.16,05/12/2022 21:21:33
110,WWW Visit,admin35254,121.36.35.254,18e4504d197d523e8f487f6ed18878cb,chrome  TcpIp/Send  192.168.0.110 to 180.97.34.43,05/12/2022 21:21:33
111,WWW Visit,admin35254,121.36.35.254,e0b87fe80b8267ae2b59db63fb3f8a7b,chrome  TcpIp/Recv  192.168.0.110 to 157.255.77.181,05/12/2022 21:21:35
112,WWW Visit,admin35254,121.36.35.254,c2c5d011771e48b301b2f328d0ea6cb9,chrome  TcpIp/Send  192.168.0.110 to 157.255.77.181,05/12/2022 21:21:35
113,File Open,admin35254,121.36.35.254,d61ae1e767889d5ff071c9bf0415a05f,chrome FileIO/Read sec.zip,05/12/2022 21:22:09
114,File Write,admin35254,121.36.35.254,8713b0f58ff6c8630b7d5ceda420e244,explorer FileIO/Write sec.zip.lnk,05/12/2022 21:22:09
115,WWW Visit,admin35254,121.36.35.254,d4892197f3978ef8619cb93906a95560,chrome  TcpIp/Send  192.168.0.110 to 140.249.34.14,05/12/2022 21:22:10
116,WWW Visit,admin35254,121.36.35.254,c43abee40aa63b0f9d675716f68ec221,chrome  TcpIp/Recv  192.168.0.110 to 140.249.34.14,05/12/2022 21:22:10
117,WWW Visit,admin35254,121.36.35.254,dcdc0593b11793c963eca1efa80aed70,chrome  TcpIp/Recv  192.168.0.110 to 180.97.34.232,05/12/2022 21:22:30
118,WWW Visit,admin35254,121.36.35.254,986092221e55690c9bfa4e7469a8fa82,chrome  TcpIp/Recv  192.168.0.110 to 36.99.225.38,05/12/2022 21:22:37
119,WWW Visit,admin35254,121.36.35.254,cc586c2250c244ad383e3812f85dcbe8,chrome  TcpIp/Send  192.168.0.110 to 140.249.34.14,05/12/2022 21:22:49
120,WWW Visit,admin35254,121.36.35.254,c6e087b264c51e2fab9deb768ff0345a,chrome  TcpIp/Recv  192.168.0.110 to 140.249.34.14,05/12/2022 21:22:51
121,WWW Visit,admin35254,121.36.35.254,6317692eff2f4cb33b84f8db4d9af4b7,chrome  TcpIp/Recv  192.168.0.110 to 117.27.149.201,05/12/2022 21:22:58
122,WWW Visit,admin35254,121.36.35.254,dbcf266cd6b6edabf19d7ccb290053f1,chrome  TcpIp/Recv  192.168.0.110 to 103.215.142.107,05/12/2022 21:23:15
123,WWW Visit,admin35254,121.36.35.254,bfd51ec3a4fe97c4e28c212f0342c546,chrome  TcpIp/Recv  192.168.0.110 to 47.95.53.4,05/12/2022 21:23:30
124,WWW Visit,admin35254,121.36.35.254,e458513674dbcd9142ab5360787c2d59,chrome  TcpIp/Recv  192.168.0.110 to 124.238.241.35,05/12/2022 21:23:32
125,WWW Visit,admin35254,121.36.35.254,ded52d78a2f94d92e6780f05fb9f8d48,chrome  TcpIp/Recv  192.168.0.110 to 182.106.137.35,05/12/2022 21:23:32
126,WWW Visit,admin35254,121.36.35.254,50b8bfd39cd07e8adcf8c2a96b0bef73,chrome  TcpIp/Recv  192.168.0.110 to 116.114.98.35,05/12/2022 21:23:33
127,WWW Visit,admin35254,121.36.35.254,9a0bfb6405fd36871d0fd13f01a2e986,chrome  TcpIp/Recv  192.168.0.110 to 23.35.111.96,05/12/2022 21:25:14
128,WWW Visit,admin35254,121.36.35.254,15464af9609d996eb7a555f39fe61b4a,chrome  TcpIp/Recv  192.168.0.110 to 203.208.50.162,05/12/2022 21:25:27
129,WWW Visit,admin35254,121.36.35.254,97b58402bf68e52c7994cb0ee58c2947,chrome  TcpIp/Recv  192.168.0.110 to 142.250.199.83,05/12/2022 21:39:49
130,WWW Visit,admin35254,121.36.35.254,6b9dac30455de9218c3e5c8039d696cc,chrome  TcpIp/Send  192.168.0.110 to 142.250.199.83,05/12/2022 21:39:49
131,WWW Visit,admin35254,121.36.35.254,69fd73a69bbe5d18dd889ab0b6d84464,chrome  TcpIp/Send  192.168.0.110 to 35.201.68.45,05/12/2022 21:54:29
132,WWW Visit,admin35254,121.36.35.254,e9f2a4e5c785488df53f15280bab373c,chrome  TcpIp/Recv  192.168.0.110 to 35.201.68.45,05/12/2022 21:54:29
133,WWW Visit,admin35254,121.36.35.254,3fa29d80d38e98f988875f0648693235,chrome  TcpIp/Send  192.168.0.110 to 203.208.50.162,05/12/2022 22:07:38
134,WWW Visit,admin35254,121.36.35.254,71fd4d2a3f577e3c2454409524995ee4,chrome  TcpIp/Recv  192.168.0.110 to 203.208.50.162,05/12/2022 22:07:38
135,WWW Visit,admin35254,121.36.35.254,523d00a2e7932c58683d49a239f0be4e,chrome  TcpIp/Send  192.168.0.110 to 203.208.50.34,05/12/2022 22:37:38
136,WWW Visit,admin35254,121.36.35.254,49b870b339c9602f0786c3a9ef6dd638,chrome  TcpIp/Recv  192.168.0.110 to 203.208.50.34,05/12/2022 22:37:38
137,WWW Visit,admin35254,121.36.35.254,98e8f63ca09762d1e4cda9acb046fbfb,chrome  TcpIp/Recv  192.168.0.110 to 58.254.149.226,05/12/2022 22:56:28
138,WWW Visit,admin35254,121.36.35.254,3a4057c5b7c6a85e477d592dd1d4e045,chrome  TcpIp/Send  192.168.0.110 to 58.254.149.226,05/12/2022 22:56:28
139,WWW Visit,admin35254,121.36.35.254,204b9f3dba4ecd0e5944c156cb315682,chrome  TcpIp/Send  192.168.0.110 to 35.190.89.216,05/12/2022 22:59:11
140,WWW Visit,admin35254,121.36.35.254,1c0300d2b39fc060b5322b22280182f4,chrome  TcpIp/Recv  192.168.0.110 to 35.190.89.216,05/12/2022 22:59:11
141,WWW Visit,admin35254,121.36.35.254,cc86fe146acc97eb89ccff75efdcba21,chrome  TcpIp/Send  192.168.0.110 to 203.208.39.226,05/12/2022 23:11:56
142,WWW Visit,admin35254,121.36.35.254,1acad9734902d541c1918bf5a26e523d,chrome  TcpIp/Recv  192.168.0.110 to 203.208.39.226,05/12/2022 23:11:56
143,File Open,admin35254,121.36.35.254,e1a583574933e63df55786927c5e328e,MsMpEng FileIO/Read windows.data.pdf.dll,05/13/2022 01:12:35
144,File Open,admin35254,121.36.35.254,12c3e3e0fd22cb3b45066c48a5b2149f,MsMpEng FileIO/Read xpsdocumenttargetprint.dll,05/13/2022 01:12:37
145,File Open,admin35254,121.36.35.254,8d70dcb68096b6884575a7ed577f258a,MsMpEng FileIO/Read windows.data.pdf.dll,05/13/2022 01:12:41
146,File Open,admin35254,121.36.35.254,28ad6e1e1c5152d3398d668d6a80089f,MsMpEng FileIO/Read xpsdocumenttargetprint.dll,05/13/2022 01:12:41
147,File Open,admin35254,121.36.35.254,abe1f68fd493d0443bbb31df0b8cb3f7,svchost FileIO/Read $I85CYBR.zip,05/13/2022 02:59:45
148,File Open,admin35254,121.36.35.254,38da20a448b4699d30032c85ec43881b,svchost FileIO/Read $I2NPFEU.zip,05/13/2022 02:59:45
149,File Open,admin35254,121.36.35.254,886e7cc5b8f712b7c50590810bf475eb,svchost FileIO/Read $IBMV5NX.txt,05/13/2022 02:59:45
150,File Open,admin4418,121.36.44.18,e32c54ace222c03bff19f110a0305088,MsMpEng FileIO/Read 29.jpg,05/13/2022 03:31:05
151,File Open,admin4418,121.36.44.18,f04e60d947fbbf8a8d22e29d708c9f0a,MsMpEng FileIO/Read theme_photo_greentreetops_background.jpg,05/13/2022 03:31:05
152,File Open,admin4418,121.36.44.18,9b7cbdaa6271d043a5a7273d7c2c753d,MsMpEng FileIO/Read background_roomtracing_05.jpg,05/13/2022 03:31:06
153,File Open,admin4418,121.36.44.18,d8fe3e13914c8becc673635451cf5dfd,MsMpEng FileIO/Read img1.jpg,05/13/2022 03:31:06
154,File Open,admin4418,121.36.44.18,36960216d4e80741817dc29e5606d848,MsMpEng FileIO/Read thirdpartynotice.txt,05/13/2022 03:31:06
155,File Open,admin4418,121.36.44.18,ac32de0b780699e5b170db0a3cdbb0ce,MsMpEng FileIO/Read tabletextserviceyi.txt,05/13/2022 03:31:07
156,File Open,admin4418,121.36.44.18,4668c432970e371ba27364250333208a,MsMpEng FileIO/Read theme_illustration_seasons_winter_thumbnail.jpg,05/13/2022 03:31:07
157,File Open,admin4418,121.36.44.18,46de3d3d17eba05c8b32e763b0d1d24d,MsMpEng FileIO/Read motioncontroller_hero.jpg,05/13/2022 03:31:07
158,File Open,admin4418,121.36.44.18,d3f5c4f0d4c2e131f50e8f1c1c8aeb56,MsMpEng FileIO/Read theme_photo_autumnleaves_background.jpg,05/13/2022 03:31:07
159,File Open,admin4418,121.36.44.18,93992ac6530cd885f358c61caed99261,MsMpEng FileIO/Read background_roomtracing_03.jpg,05/13/2022 03:31:07
160,File Open,admin4418,121.36.44.18,f4a5e6c4a7e51278941c584b3484981a,MsMpEng FileIO/Read img3.jpg,05/13/2022 03:31:08
161,File Open,admin4418,121.36.44.18,357d3ed1cf32520d986c6795372db1c0,MsMpEng FileIO/Read 34.jpg,05/13/2022 03:31:08
162,File Open,admin4418,121.36.44.18,0d11389c9cbf8dffd0e221db289f0a66,MsMpEng FileIO/Read music_offline_demo_page2.jpg,05/13/2022 03:31:08
163,File Open,admin4418,121.36.44.18,2ffafb47e2f4480badbd7beacb24bbb5,MsMpEng FileIO/Read windows.data.pdf.dll.mun,05/13/2022 03:31:09
164,File Open,admin4418,121.36.44.18,5b97aef2915c63fafda364f923eca7ec,MsMpEng FileIO/Read motion_zoominright.jpg,05/13/2022 03:31:10
165,File Open,admin4418,121.36.44.18,442c0e41eb18a6a8e112eaeb97c87bdb,MsMpEng FileIO/Read background_safety_objects.jpg,05/13/2022 03:31:10
166,File Open,admin4418,121.36.44.18,e416b3e4eebd09041c944374f8a7e4e4,MsMpEng FileIO/Read 39.jpg,05/13/2022 03:31:11
167,File Open,admin4418,121.36.44.18,44b67c349584d9514f75b9dc7a11e6b9,MsMpEng FileIO/Read 40.jpg,05/13/2022 03:31:13
